theta1_deg,theta2_deg,m00_id1_mcp_delta_mm,m01_id2_mcp_delta_mm,m02_id3_mcp_routing_delta_mm,m03_id4_mcp_routing_delta_mm,m00_id1_invalid_mask,m01_id2_invalid_mask,m02_id3_invalid_mask,m03_id4_invalid_mask
-20.0,58.8,-3.580595,-8.823168,-3.651557,6.294097,0,0,0,0
-20.0,59.0,-3.601106,-8.843185,-3.673477,6.316283,0,0,0,0
-20.0,59.2,-3.621618,-8.863202,-3.695443,6.338517,0,0,0,0
-20.0,59.4,-3.642129,-8.883218,-3.717456,6.360797,0,0,0,0
-20.0,59.6,-3.662640,-8.903232,-3.739516,6.383126,0,0,0,0
-20.0,59.8,-3.683151,-8.923245,-3.761622,6.405502,0,0,0,0
-20.0,60.0,-3.703662,-8.943257,-3.783775,6.427925,0,0,0,0
-20.0,60.2,-3.724173,-8.963268,-3.805974,6.450394,0,0,0,0
-20.0,60.4,-3.744684,-8.983277,-3.828219,6.472911,0,0,0,0
-20.0,60.6,-3.765194,-9.003286,-3.850510,6.495474,0,0,0,0
-20.0,60.8,-3.785704,-9.023293,-3.872847,6.518085,0,0,0,0
-20.0,61.0,-3.806215,-9.043300,-3.895230,6.540741,0,0,0,0
-20.0,61.2,-3.826725,-9.063304,-3.917659,6.563444,0,0,0,0
-20.0,61.4,-3.847235,-9.083308,-3.940133,6.586193,0,0,0,0
-20.0,61.6,-3.867745,-9.103311,-3.962652,6.608988,0,0,0,0
-20.0,61.8,-3.888254,-9.123312,-3.985217,6.631829,0,0,0,0
-20.0,62.0,-3.908764,-9.143312,-4.007827,6.654716,0,0,0,0
-20.0,62.2,-3.929273,-9.163311,-4.030482,6.677649,0,0,0,0
-20.0,62.4,-3.949783,-9.183309,-4.053183,6.700627,0,0,0,0
-20.0,62.6,-3.970292,-9.203305,-4.075927,6.723650,0,0,0,0
-20.0,62.8,-3.990801,-9.223301,-4.098717,6.746719,0,0,0,0
-20.0,63.0,-4.011310,-9.243295,-4.121551,6.769833,0,0,0,0
-20.0,63.2,-4.031818,-9.263288,-4.144430,6.792991,0,0,0,0
-20.0,63.4,-4.052327,-9.283279,-4.167353,6.816195,0,0,0,0
-20.0,63.6,-4.072835,-9.303270,-4.190320,6.839443,0,0,0,0
-20.0,63.8,-4.093344,-9.323259,-4.213331,6.862736,0,0,0,0
-20.0,64.0,-4.113852,-9.343247,-4.236386,6.886073,0,0,0,0
-20.0,64.2,-4.134360,-9.363235,-4.259485,6.909454,0,0,0,0
-20.0,64.4,-4.154868,-9.383220,-4.282627,6.932879,0,0,0,0
-20.0,64.6,-4.175376,-9.403204,-4.305813,6.956348,0,0,0,0
-20.0,64.8,-4.195883,-9.423187,-4.329042,6.979861,0,0,0,0
-20.0,65.0,-4.216391,-9.443169,-4.352315,7.003418,0,0,0,0
-20.0,65.2,-4.236898,-9.463149,-4.375631,7.027019,0,0,0,0
-20.0,65.4,-4.257405,-9.483129,-4.398990,7.050662,0,0,0,0
-20.0,65.6,-4.277913,-9.503107,-4.422391,7.074348,0,0,0,0
-20.0,65.8,-4.298419,-9.523084,-4.445836,7.098078,0,0,0,0
-20.0,66.0,-4.318926,-9.543059,-4.469323,7.121851,0,0,0,0
-20.0,66.2,-4.339433,-9.563033,-4.492852,7.145667,0,0,0,0
-20.0,66.4,-4.359939,-9.583006,-4.516424,7.169524,0,0,0,0
-20.0,66.6,-4.380445,-9.602978,-4.540038,7.193425,0,0,0,0
-20.0,66.8,-4.400951,-9.622949,-4.563694,7.217368,0,0,0,0
-20.0,67.0,-4.421458,-9.642918,-4.587391,7.241353,0,0,0,0
-20.0,67.2,-4.441964,-9.662885,-4.611131,7.265379,0,0,0,0
